id,expected,final_verdict,pipeline_status,match,notes
CIS-5.7.3,ACCEPT,REVISE,llm_ok,False,"Manual Kubernetes hardening control with no CVE, EPSS, KEV, or internet-facing signal in the supplied fields."
CIS-5.7.4,ACCEPT,REVISE,llm_ok,False,"Manual namespace-hygiene control with no CVE, EPSS, KEV, or internet-facing signal in the supplied fields."
SOC-IMAGEPKG-faddad731e67,ACCEPT,REVISE,llm_ok,False,"Configuration observation about pod probes with no CVE, EPSS, KEV, or internet-facing signal."
SOC-IMAGEPKG-4ea41137f771,ABSTAIN,ABSTAIN,llm_ok,True,"Le titre indique seulement une cible localhost, sans résultat de contrôle. Demander la sortie complète du scanner et le périmètre réseau. localhost ne démontre ni conformité ni absence de risque."
SOC-IMAGEPKG-bc0653f590b2,REVISE,REVISE,llm_ok,True,"Le nom de règle suggère des endpoints Actuator potentiellement sensibles, mais il est tronqué. Vérifier les endpoints réellement activés, leur authentification et leur accessibilité interne. FALSE ne suffit pas à accepter ce constat."
SOC-K8SPOLICY-16d1cf33b1b3,ABSTAIN,REVISE,llm_ok,False,"Vault is reported unavailable, so the evidence is incomplete and the result is neither confirmed benign nor confirmed exploitable."
CIS-DI-0005,ACCEPT,REVISE,llm_ok,False,"Acceptation provisoire comme contrôle de durcissement, selon les exemples du fichier. Le titre formule une recommandation, sans résultat démontrant un échec. Vérifier la politique de confiance des images et la preuve du contrôle avant toute clôture."
GHSA-qppj-fm5r-hxr3,ABSTAIN,ABSTAIN,llm_ok,True,"Le titre évoque une attaque par annulation de flux HTTP/2. Produit, version, correspondance CVE et activation HTTP/2 manquent. EPSS=0 et exposition FALSE ne démontrent pas la non-applicabilité."
GHSA-7w75-32cg-r6g2,ABSTAIN,ABSTAIN,pending_review,True,"DoS HTTP/2 Tomcat indiqué, sans version installée ni configuration du connecteur. Demander ces éléments et la correspondance CVE avant de conclure. La catégorie attendue ne constitue pas une preuve."
GHSA-w6f2-8wx4-47r5,ABSTAIN,ABSTAIN,llm_ok,True,"Défaut d’autorisation MySQL Connector Java indiqué, sans version ni chemin applicatif concerné. Vérifier la dépendance réellement chargée et les conditions de déclenchement avant acceptation."
GHSA-r6j3-px5g-cq3x,ABSTAIN,ABSTAIN,pending_review,True,"Validation d’entrée Tomcat indiquée, mais composant, version et requêtes concernées ne sont pas documentés. Obtenir le détail de l’avis et le constat de détection."
GHSA-q3mw-pvr8-9ggc,ABSTAIN,ABSTAIN,pending_review,True,Redirection ouverte Tomcat indiquée sans version ni route affectée. Vérifier les entrées contrôlables et les restrictions de destination. L’absence déclarée d’exposition Internet ne permet pas de clôturer.
CVE-2022-1471,REVISE,ESCALATE,llm_ok,False,"RCE/deserialization with EPSS 0.99569 requires checking the affected version and exploitability, but no KEV or internet-facing signal supports automatic escalation."
CVE-2025-55752,REVISE,REVISE,llm_ok,True,"Path traversal with EPSS 0.66535 warrants a finding-specific review, while exposure and affected-version evidence are missing."
CVE-2025-48988,REVISE,REVISE,llm_ok,True,High-severity resource-exhaustion finding with EPSS 0.5946 needs validation of exposure and resource controls before acceptance.
CVE-2024-38819,REVISE,REVISE,llm_ok,True,"Path traversal with EPSS 0.54862 merits a finding-specific review, but no KEV or internet-facing signal is supplied."
CVE-2023-24998,REVISE,REVISE,llm_ok,True,Upload-related DoS with EPSS 0.48788 requires checking upload exposure and limits before accepting the conclusion.
CVE-2024-24549,REVISE,REVISE,llm_ok,True,"DoS classé HIGH avec EPSS fourni de 0.23072. Vérifier la version concernée, les points d’entrée atteignables et les limites de ressources. Réviser le triage après validation du contexte."
CVE-2024-38816,REVISE,REVISE,llm_ok,True,"Traversée de chemins classée HIGH avec EPSS fourni de 0.14718. Vérifier la version, la résolution des chemins et les ressources accessibles depuis des entrées non fiables."
CVE-2022-22968,REVISE,REVISE,llm_ok,True,"Règles de liaison de données classées HIGH avec EPSS fourni de 0.05666. Vérifier la version du framework et les règles réellement configurées, puis évaluer les champs modifiables sans autorisation."
CVE-2020-36518,REVISE,REVISE,llm_ok,True,"DoS classé HIGH avec EPSS fourni de 0.0486. Identifier la bibliothèque et sa version, les données non fiables traitées et les limites de taille/profondeur. Aucun test d’applicabilité n’est fourni."
CVE-2024-34750,REVISE,REVISE,llm_ok,True,"Le titre signale une expiration de session insuffisante et la sévérité HIGH. Confirmer la correspondance titre/CVE dans l’avis éditeur, puis les versions et conditions affectées. EPSS fourni de 0.04602 ne suffit pas à accepter."
CVE-2024-22243,REVISE,REVISE,llm_ok,True,Redirection ouverte classée HIGH avec EPSS fourni de 0.03967. Vérifier la version et la façon dont les URL non fiables sont analysées et validées. Confirmer les destinations réellement autorisées.
CVE-2025-48989,REVISE,REVISE,llm_ok,True,"Libération incorrecte de ressources classée HIGH avec EPSS fourni de 0.03514. Vérifier le composant, les versions et les limites de connexions/ressources pour établir l’impact sur la disponibilité."
CVE-2023-44487,ESCALATE,ESCALATE,llm_ok,True,"Critical severity, KEV membership, and EPSS 0.99999 justify urgent analyst review even without an internet-facing signal."
CVE-2025-24813,ESCALATE,ESCALATE,llm_ok,True,"Critical severity, KEV membership, and EPSS 0.99927 justify urgent analyst review of the potential RCE and information impact."
CVE-2022-22965,ESCALATE,ESCALATE,llm_ok,True,Critical RCE with KEV membership and EPSS 0.99638 requires urgent analyst review and response.
CVE-2024-50379,ESCALATE,REVISE,llm_ok,False,Critical severity warrants analyst escalation; the absence of KEV and internet-facing evidence means this is not proof of active exploitation.
CVE-2016-1000027,REVISE,REVISE,llm_ok,True,"Critical deserialization impact is important, but EPSS 0.32257 and no KEV or internet-facing signal require version and reachability validation first."
